ID	CONCEPT	DOCULECT	SUBGROUP	FORM	VALUE	TOKENS	COGID	COGIDS	ALIGNMENT	MORPHEMES	BORROWING	NOTE	SOURCE
3699	to turn (change one's direction)	Shuar	Chicham	íik-ia	íik-ia	iː kʲ + a	2829	4724 4725	iː kʲ + a			None	Pellizzaro2005
3700	two	Shuar	Chicham	jímiar	jímiar	h i mʲ a ɾ	2930	4923	h i mʲ a ɾ			None	Pellizzaro2005
3701	to vomit	Shuar	Chicham	imia-k	imia-k	i + mʲ a + k	2839	1417 4729 4738	i + mʲ a + k			CAUS + stem	Pellizzaro2005
3702	to walk	Shuar	Chicham	weká-sa	weká-sa	w ɨ k a + s a	2846	4753 4763	w ɨ k a ( - - - ) + s a			None	Pellizzaro2005
3703	to wash	Shuar	Chicham	nijiá-r	nijiá-r	n i hʲ a + ɾ	2857	4779 4786	n i hʲ a + ɾ			None	Pellizzaro2005
3704	water	Shuar	Chicham	entsa	entsa	ɨ n ts a	2973	4987	ɨ n ts a			'agua de vertiente'	Pellizzaro2005
3705	we	Shuar	Chicham	li	li	iː	2992	5015	iː			None	Pellizzaro2005
3706	wet	Shuar	Chicham	jiniárma	jiniárma	h i nʲ a + ɾ + m a	3008	1386 1387 1385	h i nʲ a + ɾ + m a			None	Pellizzaro2005
3707	what?	Shuar	Chicham	warí	warí	w a ɾ i	3017	5079	w a ɾ i			None	Pellizzaro2005
3708	when?	Shuar	Chicham	urútai	urútai	u ɾ u t ei	3034	5107	- u ɾ u t ei - ( - - )			None	Pellizzaro2005
3709	white	Shuar	Chicham	puju	puju	p u h u	3060	5159	p u h u			None	Pellizzaro2005
3710	who?	Shuar	Chicham	ya	ya	j a	3086	5199	j a			None	Pellizzaro2005
3711	wide	Shuar	Chicham	wankáaram	wankáaram	w a ŋ k aː + ɾ a m	3103	5229 1391	w a ŋ k aː + ɾ a m			None	Pellizzaro2005
3713	wind	Shuar	Chicham	nase	nase	n a s ɨ	3134	5277	n a s ɨ			None	Pellizzaro2005
3714	wing	Shuar	Chicham	nánape	nánape	n a n a p ɨ	3153	5307	n a n a p ɨ			None	Pellizzaro2005
3715	with (accompanying)	Shuar	Chicham	-ja̠i	-ja̠i	h a i	3170	5330	h a i			None	Pellizzaro2005
3716	woman	Shuar	Chicham	nua	nua	n u a	3181	5351	n u - a			None	Pellizzaro2005
3717	woods	Shuar	Chicham	kampúntin	kampúntin	k a m p u n t i n	3212	5400	k a m p u n t i n			None	Pellizzaro2005
3718	worm	Shuar	Chicham	aka	aka	a k a	3217	5409	a k a			None	Pellizzaro2005
3719	ye	Shuar	Chicham	átum	átum	a t u m	3228	5433	a t u m -			None	Pellizzaro2005
3720	year	Shuar	Chicham	uwí	uwí	u w i	3255	5479	u w i			None	Pellizzaro2005
3721	yellow	Shuar	Chicham	yanku	yanku	j a ŋ k u	3275	5504	j a ŋ k u			None	Pellizzaro2005
3722	tongue	Chibito	Isolate	moaltsǔ	moaltsǔ (malsu)	m o a l ts u	2880	4817	m o a l ts u			Tessmann: Zunge	Tessmann1930
3723	tooth (front rather than molar)	Chibito	Isolate	dzuī	dzuī (tui)	dz u.i	2892	4844	dz u.i ( - - - )			Tessmann: Zahn	Tessmann1930
3724	eye	Chibito	Isolate	montsá	montsá (mantsá)	m o n ts a	524	841	m o n ts a			Tessmann: Auge	Tessmann1930
3725	ear	Chibito	Isolate	otšī	otšī (otšji)	o tʃ i	458	734	o tʃ i			Tessmann: Ohr	Tessmann1930
3726	head	Chibito	Isolate	sótša	sótša	s o tʃ a	907	1470	s o tʃ a			Tessmann: Kopf	Tessmann1930
3727	hand	Chibito	Isolate	nūl	nūl	n u l	872	1394	n u l			Tessmann: Hand	Tessmann1930
3728	water	Chibito	Isolate	otšj	otšj	o tʃ j	2965	4980	o tʃ j			Tessmann: Wasser	Tessmann1930
3729	fire	Chibito	Isolate	olho'	olho' (utšj)	o l h o	641	1028	o l h o			Tessmann: Feuer	Tessmann1930
3730	sun	Chibito	Isolate	nim	nim (njim)	n i m	2012	3306	n i m			Tessmann: Sonne	Tessmann1930
3731	stone	Chibito	Isolate	tšē	tšē	tʃ e	1976	3248	tʃ e			Tessmann: Stein	Tessmann1930
3732	woman	Chibito	Isolate	udū	udū, alu	u d u	3187	5358	u d u			Tessmann: Frau	Tessmann1930
3733	woman	Chibito	Isolate	alu	udū, alu	a l u	3201	5373	a l u			Tessmann: Frau	Tessmann1930
3734	dog	Chibito	Isolate	šu'	šu'	ʃ u	387	625	ʃ u			Tessmann: Hund	Tessmann1930
3735	stick (of wood)	Chibito	Isolate	mitš	mitš	m i tʃ	1956	411	m i tʃ			Tessmann: Stock	Tessmann1930
3736	one	Chibito	Isolate	etsí	etsí	e ts i	1446	2372	e ts i			Tessmann: eins	Tessmann1930
3737	two	Chibito	Isolate	optšē	optšē	o p tʃ e	2936	4931	o p tʃ e			Tessmann: zwei	Tessmann1930
3738	three	Chibito	Isolate	útsi	útsi	u ts i	2160	501	u ts i			Tessmann: drei	Tessmann1930
3739	white	Chibito	Isolate	utsūtš	utsūtš (atsutš)	u ts u tʃ	3066	5166	u ts u tʃ			Tessmann: weiß	Tessmann1930
3740	black	Chibito	Isolate	utsálmana	utsálmana	u ts a l m a n a	239	389	u ts a l m a n a			Tessmann: schwarz	Tessmann1930
3741	red	Chibito	Isolate	mútsmana	mútsmana	m u ts m a n a	1495	2466	m u ts m a n a			Tessmann: rot	Tessmann1930
3742	tongue	Omurano	Isolate	nateto	nateto	n a t e t o	2883	4821	n a t e t o			Tessmann: Zunge	Tessmann1930
3743	tooth (front rather than molar)	Omurano	Isolate	nanani	nanani	n a n a n i	2903	4856	n a n a n i			Tessmann: Zahn	Tessmann1930
3744	eye	Omurano	Isolate	natn̄n	(a)natn̄n	n a t n n	530	847	n a t n n			Tessmann: Auge	Tessmann1930
3745	ear	Omurano	Isolate	natsḗi̯yo	(a)natsḗi̯yo	n a ts e i j o	465	743	n a ts e i j o			Tessmann: Ohr	Tessmann1930
3746	head	Omurano	Isolate	naneyalok	naneyalok	n a n e j a l o k	913	1477	n a n e j a l o k			Tessmann: Kopf	Tessmann1930
3747	hand	Omurano	Isolate	na̯óra	(a)na̯óra	n a o r a	877	1400	n a o r a			Tessmann: Hand	Tessmann1930
3748	water	Omurano	Isolate	tówă	tówă	t o w a	2969	4983	t o w a			Tessmann: Wasser	Tessmann1930
3749	fire	Omurano	Isolate	ínjo	ínjo	i ɲ o	647	1033	i ɲ o			Tessmann: Feuer	Tessmann1930
3750	sun	Omurano	Isolate	hḗ̠na	hḗ̠na	h e n a	2018	3312	h e n a			Tessmann: Sonne	Tessmann1930
3751	stone	Omurano	Isolate	tiṓkn	tiṓkn	t i o k n	1979	3251	t i o k n			Tessmann: Stein	Tessmann1930
3752	woman	Omurano	Isolate	mpárawan	mpárawan	m p a r a w a n	3192	5364	m p a r a w a n			Tessmann: Frau	Tessmann1930
3753	dog	Omurano	Isolate	maladží	maladží	m a l a dʒ i	392	630	m a l a dʒ i			Tessmann: Hund	Tessmann1930
3754	stick (of wood)	Omurano	Isolate	áă	áă	a a	1959	3214	a a			Tessmann: Stock	Tessmann1930
3755	one	Omurano	Isolate	naθŏ́ro	naθŏ́ro	n a θ o r o	1451	2377	n a θ o r o			Tessmann: eins	Tessmann1930
3756	two	Omurano	Isolate	θṓoro	θṓoro	θ o o r o	2941	4936	θ o o r o			Tessmann: zwei	Tessmann1930
3757	three	Omurano	Isolate	ononṍ̠o̠n	ononṍ̠o̠n	o n o n o o n	2166	3592	o n o n o o n			Tessmann: drei	Tessmann1930
3758	white	Omurano	Isolate	tšalama	tšalama	tʃ a l a m a	3073	5172	tʃ a l a m a			Tessmann: weiß	Tessmann1930
3759	black	Omurano	Isolate	pitšama	pitšama	p i tʃ a m a	246	396	p i tʃ a m a			Tessmann: schwarz	Tessmann1930
3760	red	Omurano	Isolate	rav̠ima	rav̠ima	r a v i m a	1502	2473	r a v i m a			Tessmann: rot	Tessmann1930
3761	hair	Omurano	Isolate	anána	anána	a n a n a	855	1369	a n a n a			Tessmann: Haar	Tessmann1930
3762	nose	Omurano	Isolate	analáma	analáma	a n a l a m a	1389	2265	a n a l a m a			Tessmann: Nase	Tessmann1930
3763	mouth	Omurano	Isolate	anar̥á͜u	anar̥á͜u	a n a r au	1258	2063	a n a r au			Tessmann: Mund	Tessmann1930
3764	neck	Omurano	Isolate	anaṓni	anaṓni	a n a o n i	1333	2167	a n a o n i			Tessmann: Hals	Tessmann1930
3765	back (person's)	Omurano	Isolate	anaθáb̯a	anaθáb̯a	a n a θ a b a	88	159	a n a θ a b a			Tessmann: Rücken	Tessmann1930
3766	belly	Omurano	Isolate	anaθawuápa	anaθawuápa	a n a θ a w u a p a	159	267	a n a θ a w u a p a			Tessmann: Bauch	Tessmann1930
3767	foot	Omurano	Isolate	analṓ̠tθi	analṓ̠tθi	a n a l o t θ i	743	1189	a n a l o t θ i			Tessmann: Fuß	Tessmann1930
3768	bone	Omurano	Isolate	anaī́	anaī́	a n a i	293	476	a n a i			Tessmann: Knochen	Tessmann1930
3769	blood	Omurano	Isolate	lána	lána	l a n a	272	436	l a n a			Tessmann: Blut	Tessmann1930
3770	husband	Omurano	Isolate	njiwā́na	njiwā́na	ɲ i w a n a	1000	1635	ɲ i w a n a			Tessmann: Ehemann	Tessmann1930
3771	wife	Omurano	Isolate	njiwā́na	njiwā́na	ɲ i w a n a	3121	5257	ɲ i w a n a			Tessmann: Ehefrau	Tessmann1930
3772	meat (flesh)	Omurano	Isolate	aitša	aitša	a i tʃ a	1198	1965	- a - i tʃ a			Tessmann: Fleisch	Tessmann1930
3773	fish	Omurano	Isolate	mā́ma	mā́ma	m a m a	666	1066	m a m a			Tessmann: Fisch	Tessmann1930
3774	sky	Omurano	Isolate	bā́al	bā́al	b a a l	1814	2985	b a a l			Tessmann: Himmel	Tessmann1930
3775	star	Omurano	Isolate	θnn̄́	θnn̄́	θ n n	1943	3183	θ n n			Tessmann: Stern	Tessmann1930
3776	wind	Omurano	Isolate	bū́na	bū́na	b u n a	3143	5288	b u n a			Tessmann: Wind	Tessmann1930
3777	night	Omurano	Isolate	nṓpei	nṓpei	n o p e i	1370	2229	n o p e i			Tessmann: Nacht	Tessmann1930
3778	day (opposite of night rather than time measure)	Omurano	Isolate	báō	báō	b a o	350	563	b a o			Tessmann: Tag	Tessmann1930
3779	woods	Omurano	Isolate	napápai	napápai	n a p a p a i	3210	5398	n a p a p a i			Tessmann: Wald	Tessmann1930
3780	tree	Omurano	Isolate	á͜a	á͜a	aː	2922	4895	aː			Tessmann: Baum	Tessmann1930
3781	leaf	Omurano	Isolate	ápai	ápai	a p a i	1064	1744	a p a i			Tessmann: Blatt	Tessmann1930
3782	root	Omurano	Isolate	yálĕ'	yálĕ'	j a l e	1588	2613	j a l e			Tessmann: Wurzel	Tessmann1930
3783	egg	Omurano	Isolate	ū͜ŭ́n	ū͜ŭ́n	uː n	508	813	uː n			Tessmann: Ei	Tessmann1930
3784	snake	Omurano	Isolate	r̥óma	r̥óma	r o m a	1905	3132	r o m a			Tessmann: Schlange	Tessmann1930
3785	ashes	Omurano	Isolate	n̄jótši	n̄jótši	ɲ o tʃ i	60	109	ɲ o tʃ i			Tessmann: Asche	Tessmann1930
3786	smoke (of fire)	Omurano	Isolate	niáuwitsŏ	niáuwitsŏ	n i a u w i ts o	1871	3078	n i a u w i ts o			Tessmann: Rauch	Tessmann1930
3787	long	Omurano	Isolate	ðaḗ̠ma	ðaḗ̠ma	ð a e m a	1135	1865	ð a e m a			Tessmann: lang	Tessmann1930
3788	short	Omurano	Isolate	atatṓi	atatṓi	a t a t o i	1766	2914	a t a t o i			Tessmann: kurz	Tessmann1930
3789	big	Omurano	Isolate	lē̠tḗ̠	lē̠tḗ̠	l e t e	192	321	l e t e			Tessmann: groß	Tessmann1930
3790	here	Omurano	Isolate	ńtalo	ńtalo	n t a l o	964	1571	n t a l o			Tessmann: hier	Tessmann1930
3791	there	Omurano	Isolate	ńtali	ńtali	n t a l i	2067	3400	n t a l i			Tessmann: dort	Tessmann1930
3792	many	Omurano	Isolate	alē̠ē̠ma	alē̠ē̠ma	a l e e m a	1178	1938	a l e e m a			Tessmann: viele	Tessmann1930
3793	few	Omurano	Isolate	atatī́u	atatī́u	a t a t i u	621	998	a t a t i u			Tessmann: wenig	Tessmann1930
3794	four	Omurano	Isolate	natsononídza	natsononídza	n a ts o n o n i dz a	766	1230	n a ts o n o n i dz a			Tessmann: vier	Tessmann1930
3795	five	Omurano	Isolate	or̥ar̥ápa	or̥ar̥ápa	o r a r a p a	687	1103	o r a r a p a			Tessmann: fünf	Tessmann1930
3796	good	Omurano	Isolate	ni'manei	ni'manei	n i m a n e i	787	1263	n i m a n e i			Tessmann: gut (?)	Tessmann1930
3797	bad (deleterious or unsuitable)	Omurano	Isolate	atšámani	atšámani	a tʃ a m a n i	109	168	a tʃ a m a n i			Tessmann: schlect (?)	Tessmann1930
3798	dirty	Omurano	Isolate	aiðóamana	aiðóamana	a i ð o a m a n a	368	594	a i ð o a m a n a			Tessmann: schmutzig (?)	Tessmann1930
3799	to eat	Omurano	Isolate	pḗ̠nē̠ĩn̊	pḗ̠nē̠ĩn̊	p e n e i n	2338	3874	p e n e i n			Tessmann: essen (Form?)	Tessmann1930
3800	sleep	Omurano	Isolate	látšani	látšani	l a tʃ a n i	1831	3016	l a tʃ a n i			Tessmann: schlafen (Form?)	Tessmann1930
3801	to kill	Omurano	Isolate	napē̠tẽ́n̊ani	napē̠tẽ́n̊ani	n a p e t e n a n i	2513	4181	n a p e t e n a n i			Tessmann: töten (Form?)	Tessmann1930
3802	tongue	Tequiraca	Isolate	axlī́ū	axlī́ū	a x l i u	2886	4824	a x l i u			Tessmann: Zunge	Tessmann1930
3803	tooth (front rather than molar)	Tequiraca	Isolate	āka	āka	a k a	2893	4845	a k a - -			Tessmann: Zahn	Tessmann1930
3804	eye	Tequiraca	Isolate	atū́ka̯	atū́ka̯	a t u k a	535	852	a t u k a			Tessmann: Auge	Tessmann1930
3805	ear	Tequiraca	Isolate	otoroã	otoroã	o t o r o a	470	748	o t o r o a			Tessmann: Ohr	Tessmann1930
3806	head	Tequiraca	Isolate	awarēkě	awarēkě	a w a r e k e	917	1481	a w a r e k e			Tessmann: Kopf	Tessmann1930
3807	hand	Tequiraca	Isolate	akokī́wǎ	akokī́wǎ	a k o k i w a	882	1405	a k o k i w a			Tessmann: Hand	Tessmann1930
3808	water	Tequiraca	Isolate	wā́ē	wā́ē	w a e	2975	4989	w a e			Tessmann: Wasser	Tessmann1930
3809	fire	Tequiraca	Isolate	yaha̯ó̄n̊	yaha̯ó̄n̊	j a h a o n	652	1038	j a h a o n			Tessmann: Feuer	Tessmann1930
3810	sun	Tequiraca	Isolate	akro̯ā́k	akro̯ā́k	a k r o a k	2023	3317	a k r o a k			Tessmann: Sonne	Tessmann1930
3811	stone	Tequiraca	Isolate	noklo̯ā́xe̯	noklo̯ā́xe̯	n o k l o a x e	1982	3254	n o k l o a x e			Tessmann: Stein	Tessmann1930
3812	woman	Tequiraca	Isolate	aslanḗ	aslanḗ	a s l a n e	3196	5368	a s l a n e			Tessmann: Frau	Tessmann1930
3813	stick (of wood)	Tequiraca	Isolate	áwa	áwa	a w a	1962	3217	a w a			Tessmann: Stock	Tessmann1930
3814	one	Tequiraca	Isolate	ismáwa	ismáwa	i s m a w a	1448	2179	- i s m a w a -			Tessmann: eins	Tessmann1930
3815	two	Tequiraca	Isolate	kisnáõ	kisnáõ	k i s n a o	2945	4940	k i s n a o			Tessmann: zwei	Tessmann1930
3816	three	Tequiraca	Isolate	akū́wa	akū́wa	a k u w a	2159	3585	a k u w a			Tessmann: drei	Tessmann1930
3817	white	Tequiraca	Isolate	sukḗe	sukḗe	s u k e e	3078	5177	s u k e e			Tessmann: weiß	Tessmann1930
3818	black	Tequiraca	Isolate	lō'āk	lō'āk	l o a k	251	402	l o a k			Tessmann: schwarz	Tessmann1930
3819	red	Tequiraca	Isolate	taxḗkiǎ	taxḗkiǎ	t a x e k i a	1507	2478	t a x e k i a			Tessmann: rot	Tessmann1930
3820	water	Yameo	Peba-Yagua	nan̊'wá	nan̊'wá	n a n w a	2981	4994	n a n w a			Tessmann: Wasser	Tessmann1930
3821	fire	Yameo	Peba-Yagua	ō̠lĕ̠	ō̠lĕ̠	o l e	657	1034	- - o l e			Tessmann: Feuer	Tessmann1930
3822	sun	Yameo	Peba-Yagua	natĕ̠́ra	natĕ̠́ra	n a t e r a	2027	3321	n a t e r a			Tessmann: Sonne	Tessmann1930
3823	stone	Yameo	Peba-Yagua	rŭšŭ'	rŭšŭ' (ruwisu)	r u ʃ u	1987	3258	r u - - ʃ u			Tessmann: Stein	Tessmann1930
3824	woman	Yameo	Peba-Yagua	wátrĕ	wátrĕ	w a t r e	3198	5370	w a t - r e			Tessmann: Frau	Tessmann1930
3825	dog	Yameo	Peba-Yagua	niamĭ́	niamĭ́	n i a m i ∼	393	631	n i a m i ∼			Tessmann: Hund	Tessmann1930
3826	stick (of wood)	Yameo	Peba-Yagua	ō̠ɣŭ́'	ō̠ɣŭ́'	o ɣ u	1965	3220	o ɣ u			Tessmann: Stock	Tessmann1930
3827	one	Yameo	Peba-Yagua	pwitĕ́r	pwitĕ́r	p w i t e r	1458	2384	p w i t e r			Tessmann: eins	Tessmann1930
3828	two	Yameo	Peba-Yagua	narámue̯	narámue̯	n a r a m u e	2950	4944	n a - - - r a m u e			Tessmann: zwei	Tessmann1930
3829	three	Yameo	Peba-Yagua	kin̊sắ	kin̊sắ (von kimsa Ketsch.)	k i n s a	2163	3589	- - k i n s a			Tessmann: drei	Tessmann1930
3830	white	Yameo	Peba-Yagua	pašelắ	pašelắ	p a ʃ e l a	3083	5173	- - p a ʃ e l a			Tessmann: weiß	Tessmann1930
3831	black	Yameo	Peba-Yagua	kašelắ	kašelắ	k a ʃ e l a ∼	255	397	k a ʃ e l a ∼			Tessmann: schwarz	Tessmann1930
3832	red	Yameo	Peba-Yagua	ntelắ	ntelắ	n t e l a	1513	2484	n t e l a			Tessmann: rot	Tessmann1930
3833	hair	Yameo	Peba-Yagua	yana'an̊se	yana'an̊se	j a n a a n s e	863	1376	j a n a a n s e			Tessmann: Haar / Similar to form in Yagua	Tessmann1930
3834	nose	Yameo	Peba-Yagua	inĭṛše'á	inĭṛše'á	i n i r ʃ e a	1396	2266	( - ) i n i r - ( ʃ e a )			Tessmann: Nase	Tessmann1930
3835	mouth	Yameo	Peba-Yagua	ĭ́pĕ̠	ĭ́pĕ̠	i p e	1266	2071	i p e			Tessmann: Mund	Tessmann1930
3836	neck	Yameo	Peba-Yagua	eren̊šamtitená	eren̊šamtitená	e r e n ʃ a m t i t e n a	1342	2176	e r e n ʃ a m t i t e n a			Tessmann: Hals	Tessmann1930
3837	back (person's)	Yameo	Peba-Yagua	išĕ̯n’á	išĕ̯n’á	i ʃ e n a	97	170	i ʃ e n a			Tessmann: Rücken	Tessmann1930
3838	belly	Yameo	Peba-Yagua	wē	(ī)wē	w !ẽ/e	168	276	w !ẽ/e			Tessmann: Bauch	Tessmann1930
3839	leg	Yameo	Peba-Yagua	ilī́	ilī́	i l i	1106	1815	i l i			Tessmann: Bein	Tessmann1930
3840	foot	Yameo	Peba-Yagua	erē̠šamtínjo̯	erē̠šamtínjo̯	e r e ʃ a m t i ɲ o	752	1196	e r e ʃ a m t i ɲ o			Tessmann: Fuß	Tessmann1930
3841	bone	Yameo	Peba-Yagua	elitē̠alŏ́	elitē̠alŏ́	e l i t e a l o	302	487	e l i t e a l o			Tessmann: Knochen	Tessmann1930
3842	blood	Yameo	Peba-Yagua	inē̠alá	inē̠alá	i n e a l a	279	443	i n e a l a			Tessmann: Blut	Tessmann1930
3843	husband	Yameo	Peba-Yagua	ilē̠yā́	ilē̠yā́	i l e j a	1006	1641	i l e j a			Tessmann: Ehemann	Tessmann1930
3844	wife	Yameo	Peba-Yagua	ilē̠lö̆́'	ilē̠lö̆́'	i l e l o	3131	5267	i l e l o			Tessmann: Ehefrau	Tessmann1930
3845	father	Yameo	Peba-Yagua	ī́yē̠	ī́yē̠	i j e	587	936	i j e			Tessmann: Vater	Tessmann1930
3846	mother	Yameo	Peba-Yagua	yan̊ū́elö̯	yan̊ū́elö̯	j a n u.e l o	1220	860	j a n u.e l o			Tessmann: Mutter	Tessmann1930
3847	meat (flesh)	Yameo	Peba-Yagua	salái	salái	s a l a i	1201	1968	s a l a i			Tessmann: Fleisch	Tessmann1930
3848	fish	Yameo	Peba-Yagua	amī́n̊	amī́n̊	a m i n	676	1076	a m i n			Tessmann: Fisch	Tessmann1930
3849	sky	Yameo	Peba-Yagua	ṛešiṍ'	ṛešiṍ'	r e ʃ i o	1821	2992	- - r e ʃ i o			Tessmann: Himmel	Tessmann1930
3850	star	Yameo	Peba-Yagua	kláṛeši	kláṛeši	k l a r e ʃ i	1949	3188	k l a r e ʃ i			Tessmann: Stern	Tessmann1930
3851	cloud	Yameo	Peba-Yagua	wápŏ'	wápŏ'	w a p o	332	536	w a p o			Tessmann: Wolke	Tessmann1930
3852	wind	Yameo	Peba-Yagua	walĕnḗ̠	walĕnḗ̠	w a l e n e	3150	5295	w a l e n e			Tessmann: Wind	Tessmann1930
3853	night	Yameo	Peba-Yagua	nkṓ̠o̯ši	nkṓ̠o̯ši	n k o o ʃ i	1376	2234	n - k o o ( ʃ i )			Tessmann: Nacht	Tessmann1930
3854	day (opposite of night rather than time measure)	Yameo	Peba-Yagua	pā́pa	pā́pa	p a p a	356	569	p a p a			Tessmann: Tag	Tessmann1930
3855	woods	Yameo	Peba-Yagua	tṓ̠o̯la	tṓ̠o̯la	t o o l a	3215	5403	t o o l a			Tessmann: Wald	Tessmann1930
3856	tree	Yameo	Peba-Yagua	ṓɣun̊	ṓɣun̊	o ɣ u n	2928	4900	o ɣ u n			Tessmann: Baum	Tessmann1930
3857	leaf	Yameo	Peba-Yagua	nin̊ɣū́n̊	nin̊ɣū́n̊	n i n ɣ u n	1073	1753	n i n ɣ u n			Tessmann: Blatt	Tessmann1930
3858	flower	Yameo	Peba-Yagua	sisắ	sisắ	s i s a	717	1144	s i s a - - -			Tessmann: Blume	Tessmann1930
3859	root	Yameo	Peba-Yagua	ṛasā́laṇ	ṛasā́laṇ	r a s a l a n	1596	2621	r a s a l a n			Tessmann: Wurzel	Tessmann1930
3860	egg	Yameo	Peba-Yagua	waalán̊	waalán̊	w a.a l a n	515	820	w a.a l a n			Tessmann: Ei	Tessmann1930
3861	snake	Yameo	Peba-Yagua	šatŭ́n̊	šatŭ́n̊	ʃ a t u n	1913	3140	ʃ a t u n			Tessmann: Schlange	Tessmann1930
3862	ashes	Yameo	Peba-Yagua	ō̠ṛšĕ́'	ō̠ṛšĕ́'	o r ʃ e	69	118	o r ʃ e			Tessmann: Asche	Tessmann1930
3863	smoke (of fire)	Yameo	Peba-Yagua	wanḗ̠asi̯	wanḗ̠asi̯	w a n e a s i	1877	3084	w a n e - a s i			Tessmann: Rauch	Tessmann1930
3864	long	Yameo	Peba-Yagua	pṛē̠alŭ́	pṛē̠alŭ́	p r e a l u	1144	1874	p r e a l u			Tessmann: lang	Tessmann1930
3865	short	Yameo	Peba-Yagua	nīnlḗ̠ra	nīnlḗ̠ra	n i n l e r a	1776	2924	n i n l e r a			Tessmann: kurz	Tessmann1930
3866	big	Yameo	Peba-Yagua	stẽri	stẽri	s t !ẽ/e r i	201	329	s t !ẽ/e r i			Tessmann: groß	Tessmann1930
3867	here	Yameo	Peba-Yagua	anṹlaṛa	anṹlaṛa	a n u l a r a	968	1010	a n u l a r a			Tessmann: hier	Tessmann1930
3868	there	Yameo	Peba-Yagua	lŏmā́tṛĕ	lŏmā́tṛĕ	l o m a t r e	2073	3406	l o m a t r e			Tessmann: dort	Tessmann1930
3869	right (hand)	Yameo	Peba-Yagua	marī́n̊'ŭ	marī́n̊'ŭ	m a r i n u	1546	2543	m a r i n u			Tessmann: rechts	Tessmann1930
3870	left (hand)	Yameo	Peba-Yagua	moná̠jŭ	moná̠jŭ	m o n a j u	1090	1787	m o n a - - j u			Tessmann: links	Tessmann1930
3871	many	Yameo	Peba-Yagua	parī́n̊ṛĕ	parī́n̊ṛĕ	p a r i n r e	1188	1948	p a r i n r e			Tessmann: viele	Tessmann1930
3872	few	Yameo	Peba-Yagua	tekar paṛinṛe	tekar paṛinṛe	t e k a r + p a r i n + r e	631	1009 1008 1711	t e k a r + p a r i n + r e			Tessmann: wenig	Tessmann1930
3873	four	Yameo	Peba-Yagua	tšiúskō	tšiúskō (Ket.)	tʃ i u s k o	775	1243	tʃ i u s k o			Tessmann: vier	Tessmann1930
3874	five	Yameo	Peba-Yagua	piški	piški (Ket.)	p i ʃ k i	697	1115	p i ʃ k i			Tessmann: fünf	Tessmann1930
3875	eye	Urarina	Isolate	n̪ũʰt̪á	n̪ũʰt̪á	n ṳ t a	536	32	n ṳ t a			None	Peña2023
3876	nose	Urarina	Isolate	aʰs̪í	aʰs̪í	a̤ s i	1393	2269	a̤ s i			None	Peña2023
3877	fire	Urarina	Isolate	iʰs̪í	iʰs̪í	i̤ s i	653	1039	i̤ s i			None	Peña2023
3878	water	Urarina	Isolate	aʰkaɨ́	aʰkaɨ́	a̤ k a i	2977	4991	a̤ k a i			None	Peña2023
3879	ear	Urarina	Isolate	ɨd̺itʃú	ɨd̺itʃú	ɨ d i tʃ u	458	2293	ɨ d i tʃ u			None	Peña2023
3880	tongue	Urarina	Isolate	l̪el̪é	l̪el̪é	l e l e	2888	4826	l e l e			None	Peña2023
3881	head	Urarina	Isolate	kuɨʰtɨɾ̺í	kuɨʰtɨɾ̺í	k u ɨ̤ t ɨ ɾ i	919	1483	k u ɨ̤ t ɨ ɾ i			None	Peña2023
3882	fish	Urarina	Isolate	aʰt̪é	aʰt̪é	a̤ t e	671	1071	a̤ t e			None	Peña2023
3883	mouth	Urarina	Isolate	ɨhɨᶭaé	ɨhɨᶭaé	ɨ h ɨ a e	1264	2069	ɨ h ɨ a e			None	Peña2023
3884	blood	Urarina	Isolate	kujtʃan̪ã́	kujtʃan̪ã́	k u + j tʃ a n a	276	2187 440	k u + j tʃ a n a			ku 'asociative' + ichana 'blood'	Peña2023
3885	small	Urarina	Isolate	l̪auhud̺í	l̪auhud̺í	l a u h u d i	1854	3054	l a u h u d i			None	Peña2023
3886	good	Urarina	Isolate	kawatʃá	kawatʃá	k a w a tʃ a	792	1268	k a w a tʃ a			None	Peña2023
3887	tooth (front rather than molar)	Urarina	Isolate	kaʰt̪ɨ́	kaʰt̪ɨ́	k a̤ t ɨ	2905	4858	k a̤ t ɨ			None	Peña2023
3888	big	Urarina	Isolate	t̪as̪iṹhũĩ	t̪as̪iṹhũĩ	t a s i u + h u + i	197	326 2181 2183	t a s i u + h u + i			tasiu 'be big' + hu 'derivador' + i 'nmlr'	Peña2023
3889	see	Urarina	Isolate	kuad̺aá	kuad̺aá	k u a d a a	1716	2837	k u a d a a			None	Peña2023
3890	dog	Urarina	Isolate	d̺ẽmãẽ́	d̺ẽmãẽ́	d e m a e	399	637	d e m a e			None	Peña2023
3891	sleep	Urarina	Isolate	s̪in̪ĩã́	s̪in̪ĩã́	s i n i a	1837	3023	s i n i a			None	Peña2023
3892	black	Urarina	Isolate	hiʰtʃuhuái	hiʰtʃuhuái	h i̤ tʃ u + h u a + i	252	403 2185 2186	h i̤ tʃ u + h u a + i			be.black -der -nmlr	Peña2023
3893	white	Urarina	Isolate	s̪umãhã́ĩ	s̪umãhã́ĩ	s u m a h a i	3080	5179	s u m a h a i			None	Peña2023
3894	leaf	Urarina	Isolate	ahen̪ã́	ahen̪ã́	a h e n a	1070	1750	a h e n a			None	Peña2023
